掃描報告 - 2025-12-30 16:11:26.130155
================================================================================
整體加權安全評分: 51.27%

[帳號與身份驗證]
1. 禁用 Guest 帳號 | 結果: PASS | 權重: 5
2. Administrator 帳號應禁用或重新命名 | 結果: FAIL | 權重: 5
3. 密碼最小長度 ≥ 12 | 結果: FAIL | 權重: 5
4. 密碼複雜度啟用 | 結果: PASS | 權重: 4
5. 密碼重複使用限制 ≥ 24 | 結果: PASS | 權重: 3
6. 密碼最長使用期限 ≤ 90 天 | 結果: PASS | 權重: 3
7. 密碼最短使用期限 ≥ 1 天 | 結果: PASS | 權重: 2
8. 帳號鎖定閾值 ≤ 5 次失敗 | 結果: FAIL | 權重: 4
9. 帳號鎖定持續時間 ≥ 15 分鐘 | 結果: FAIL | 權重: 3
10. Kerberos 強加密啟用 | 結果: FAIL | 權重: 3

[登入與存取控制]
11. 禁止匿名 SID/名稱轉換 | 結果: ERROR: Return code 1 | 權重: 5
12. 禁止匿名列舉 SAM 帳號 | 結果: FAIL | 權重: 5
13. 顯示登入法律聲明 | 結果: FAIL | 權重: 1
14. 禁止快取上次登入使用者名稱 | 結果: FAIL | 權重: 2
15. 禁止遠端桌面 (若不需要) | 結果: PASS | 權重: 3
16. 啟用智慧卡或 MFA | 結果: FAIL | 權重: 4
17. 限制本地管理員群組成員數量 | 結果: ERROR: Return code 1 | 權重: 3
18. 禁止空白密碼登入 | 結果: PASS | 權重: 4
19. 保留項目 A | 結果: ERROR: Return code 1 | 權重: 1
20. 保留項目 B | 結果: ERROR: Return code 1 | 權重: 1

[系統服務與設定]
21. 停用 Telnet 服務 | 結果: ERROR: Return code 1 | 權重: 4
22. 停用 FTP 服務 | 結果: ERROR: Return code 1 | 權重: 3
23. 停用 SMBv1 協定 | 結果: PASS | 權重: 5
24. 啟用 Windows Defender | 結果: PASS | 權重: 4
25. 啟用 Windows 防火牆 | 結果: PASS | 權重: 5
26. 停用 Remote Registry 服務 | 結果: FAIL | 權重: 4
27. 停用未使用的網路介面 | 結果: PASS | 權重: 1
28. 啟用 BitLocker 磁碟加密 | 結果: NOT SUPPORTED | 權重: 4
29. 啟用 Secure Boot | 結果: PASS | 權重: 3
30. 啟用 Credential Guard | 結果: NOT SUPPORTED | 權重: 3

[事件日誌與稽核]
31. 啟用登入稽核 | 結果: PASS | 權重: 4
32. 啟用物件存取稽核 | 結果: PASS | 權重: 3
33. 啟用稽核策略變更 | 結果: PASS | 權重: 3
34. 啟用系統事件稽核 | 結果: PASS | 權重: 2
35. 啟用權限使用稽核 | 結果: PASS | 權重: 2
36. 啟用進程追蹤稽核 | 結果: PASS | 權重: 1
37. 安全日誌大小 ≥ 512MB | 結果: FAIL | 權重: 3
38. 系統日誌大小 ≥ 512MB | 結果: PASS | 權重: 2
39. 應用程式日誌大小 ≥ 256MB | 結果: PASS | 權重: 1
40. 日誌覆寫/保留策略設定 | 結果: PASS | 權重: 2

[網路安全]
41. 禁止弱加密檢查 | 結果: PASS | 權重: 4
42. 啟用 TLS 1.2/1.3 支援 | 結果: PASS | 權重: 4
43. 禁用 SSL 2.0/3.0 | 結果: PASS | 權重: 4
44. 啟用 IPsec 規則 | 結果: FAIL | 權重: 3
45. LM Hash 儲存限制 (LmCompatibilityLevel) | 結果: ERROR: Return code 1 | 權重: 4
46. 禁用 NTLMv1 | 結果: PASS | 權重: 4
47. 防火牆阻擋未授權入站流量 | 結果: FAIL | 權重: 4
48. 防火牆阻擋未授權出站流量 | 結果: FAIL | 權重: 3
49. DNSSEC 或 DNS 伺服器角色檢查 | 結果: PASS | 權重: 2
50. 其他網路檢查 | 結果: PASS | 權重: 1

